title	url	published_at_x	thumbnail_url_x	published_at_y	thumbnail_url_y	thumbnail_path	links_json	links_sc
'평생교육이용권'으로 클래스101 무제한 수강 가능...6,000개 이상 클래스 보유	https://class101.ghost.io/class101business_3/	2025-08-01	https://class101.ghost.io/content/images/size/w2000/2025/08/---------101-------------------------69-.png	2025-08-01T07:43:02.000Z	https://class101.ghost.io/content/images/2025/08/---------101-------------------------69-.png	./class101_press/class101/thumbnails/---------101-------------------------69-.png	"[""https://jobs.class101.net"", ""https://class101.net/ko/pages/lllcard_voucher"", ""https://ghost.org/""]"	https://jobs.class101.net; https://class101.net/ko/pages/lllcard_voucher; https://ghost.org/
클래스101, 포브스코리아 '2025 고속성장 스타트업 50'에 선정...교육/채용 부문 유일	https://class101.ghost.io/class101business_2/	2025-07-31	https://class101.ghost.io/content/images/size/w2000/2025/07/-------------2025-07-31-130618-1-1.png	2025-07-31T06:56:56.000Z	https://class101.ghost.io/content/images/size/w1200/2025/07/-------------2025-07-31-130618-1-1.png	./class101_press/class101/thumbnails/-------------2025-07-31-130618-1-1.png	"[""https://jobs.class101.net"", ""https://www.forbeskorea.co.kr/news/articleView.html"", ""https://ghost.org/""]"	https://jobs.class101.net; https://www.forbeskorea.co.kr/news/articleView.html; https://ghost.org/
클래스101, 수강생에게 풍부한 학습 경험을 제공	https://class101.ghost.io/class101business_1/	2025-07-31	https://class101.ghost.io/content/images/size/w2000/2025/07/---------101-------------------------64--1.png	2025-07-31T03:47:43.000Z	https://class101.ghost.io/content/images/2025/07/---------101-------------------------64--1.png	./class101_press/class101/thumbnails/---------101-------------------------64--1.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, 지식과 경험이 가치가 되는 온라인 교육 플랫폼	https://class101.ghost.io/class101business/	2025-07-30	https://class101.ghost.io/content/images/size/w2000/2025/07/-------------2025-07-30-133924.png	2025-07-30T04:49:50.000Z	https://class101.ghost.io/content/images/2025/07/-------------2025-07-30-133924.png	./class101_press/class101/thumbnails/-------------2025-07-30-133924.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, ‘크리에이터 홈’ 정식 론칭	https://class101.ghost.io/class101-creator-home-launch/	2025-07-01	https://class101.ghost.io/content/images/size/w2000/2025/07/250625_----------------------------------------------------------_-------------------PR---------------------1-.jpg	2025-07-01T12:07:51.000Z	https://class101.ghost.io/content/images/size/w1200/2025/07/250625_----------------------------------------------------------_-------------------PR---------------------1-.jpg	./class101_press/class101/thumbnails/250625_---------------------------------_56a020060f.jpg	"[""https://jobs.class101.net"", ""https://creator.class101.net/center/apply"", ""https://ghost.org/""]"	https://jobs.class101.net; https://creator.class101.net/center/apply; https://ghost.org/
클래스101, 구독 홈 신규 기능 도입…개인 맞춤형 서비스 강화	https://class101.ghost.io/press_250421/	2025-04-21	https://class101.ghost.io/content/images/size/w2000/2025/04/250409--------02_---------2-.jpg	2025-04-21T01:57:38.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/250409--------02_---------2-.jpg	./class101_press/class101/thumbnails/250409--------02_---------2-.jpg	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, 창립 이래 첫 연간 흑자 달성…영업이익 39억원	https://class101.ghost.io/press_250317/	2025-03-17	https://class101.ghost.io/content/images/size/w2000/2025/04/2024------PR--------1--1-.jpg	2025-03-17T01:55:00.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/2024------PR--------1--1-.jpg	./class101_press/class101/thumbnails/2024------PR--------1--1-.jpg	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, 10인의 전문가가 이끄는 ‘핸드메이드 부업 라이브 세미나’ 첫 개최	https://class101.ghost.io/press_250210/	2025-02-10	https://class101.ghost.io/content/images/size/w2000/2025/04/class101_sabujak.png	2025-02-10T01:54:00.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/class101_sabujak.png	./class101_press/class101/thumbnails/class101_sabujak.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, T1 ‘구마유시’ 이민형과 e스포츠 클래스 슈퍼 얼리버드 오픈	https://class101.ghost.io/press_250206/	2025-02-06	https://class101.ghost.io/content/images/size/w2000/2025/04/class101_gumayusi.png	2025-02-06T01:51:00.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/class101_gumayusi.png	./class101_press/class101/thumbnails/class101_gumayusi.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, 美 스트롱벤처스서 35억원 투자 유치…흑자 달성으로 재무 건전성 강화	https://class101.ghost.io/press_250203/	2025-02-03	https://class101.ghost.io/content/images/size/w2000/2025/04/class101_investment2025.png	2025-02-03T01:52:00.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/class101_investment2025.png	./class101_press/class101/thumbnails/class101_investment2025.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, 새해맞이 ‘구독하길 잘했다’ 캠페인 전개…구독료 최대 69% 할인	https://class101.ghost.io/press_250106/	2025-01-06	https://class101.ghost.io/content/images/size/w2000/2025/04/class101_newyear.png	2025-01-06T01:49:00.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/class101_newyear.png	./class101_press/class101/thumbnails/class101_newyear.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, ‘2024 크리에이터 어워즈’ 개최…176개 분야 대표 20인 선정	https://class101.ghost.io/press_241227/	2024-12-27	https://class101.ghost.io/content/images/size/w2000/2025/04/class101_award.jpg	2024-12-27T01:46:00.000Z	https://class101.ghost.io/content/images/2025/04/class101_award.jpg	./class101_press/class101/thumbnails/class101_award.jpg	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, 140만 유튜버 부읽남과 ‘맞춤형 투자 전략’ 클래스 오픈	https://class101.ghost.io/press_241213/	2024-12-13	https://class101.ghost.io/content/images/size/w2000/2025/04/class101_---.png	2024-12-13T01:45:00.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/class101_---.png	./class101_press/class101/thumbnails/class101_---.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
클래스101, 150억원 투자 유치… ‘크리에이터 플랫폼 전환에 박차’	https://class101.ghost.io/press_241007/	2024-10-07	https://class101.ghost.io/content/images/size/w2000/2025/04/class101_press_20241007.png	2024-10-07T01:43:00.000Z	https://class101.ghost.io/content/images/size/w1200/2025/04/class101_press_20241007.png	./class101_press/class101/thumbnails/class101_press_20241007.png	"[""https://jobs.class101.net"", ""https://ghost.org/""]"	https://jobs.class101.net; https://ghost.org/
